cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr,popw
1,2016,40,0.0,20.0,15.0,55.00000000000001,10.0,0.0,0.0,0.454545,0.545455,0.0,32.571428999999995,1,140,21,201621,60.85714300000001,41.857143,20,12.0,21.0,3.785714,0.857143,349.8
1,2016,41,0.0,28.571400000000004,35.7143,7.142900000000001,28.571400000000004,0.0,0.2,0.15,0.55,0.1,41.142857,1,141,21,201621,66.714286,46.0,14,7.285714,15.857143,3.928571,0.571429,349.8
1,2016,42,9.8039,27.451,29.4118,27.451,5.8824000000000005,0.0,0.285714,0.357143,0.07142899999999999,0.285714,70.85714300000002,1,142,21,201621,91.571429,67.0,51,10.285714,20.0,3.785714,0.714286,349.8
1,2016,43,9.0909,30.303,33.3333,24.2424,3.0303,0.098039,0.27451,0.294118,0.27451,0.058824,87.714286,1,143,21,201621,112.571429,84.42857099999998,33,3.666667,13.333332999999998,3.785714,0.428571,349.8
1,2016,44,14.285700000000002,21.4286,25.0,39.2857,0.0,0.090909,0.30303,0.333333,0.242424,0.030303,75.57142900000002,1,144,21,201621,68.57142900000001,46.857143,28,-1.142857,7.857142999999999,3.785714,0.857143,349.8
1,2016,45,6.7416,26.9663,21.3483,31.46070000000001,13.4831,0.14285699999999998,0.214286,0.25,0.392857,0.0,121.0,1,145,21,201621,138.85714299999998,104.857143,89,-2.0,6.8,3.642857,0.428571,349.8
1,2016,46,3.2258,16.128999999999998,32.2581,38.70970000000001,9.6774,0.067416,0.269663,0.213483,0.314607,0.134831,109.142857,1,146,21,201621,101.142857,74.85714300000002,31,-0.166667,8.833333,3.785714,0.857143,349.8
1,2016,47,14.285700000000002,14.285700000000002,30.9524,26.1905,14.285700000000002,0.032257999999999995,0.16129000000000002,0.322581,0.387097,0.096774,96.0,1,147,21,201621,73.57142900000002,50.571429,42,-6.428571,0.14285699999999998,3.642857,0.571429,349.8
1,2016,48,10.2564,5.1282000000000005,53.8462,25.641,5.1282000000000005,0.14285699999999998,0.14285699999999998,0.309524,0.261905,0.14285699999999998,103.857143,1,148,21,201621,96.0,69.57142900000001,39,-3.571429,4.285714,3.642857,0.714286,349.8
1,2016,49,9.8361,11.4754,40.9836,24.5902,13.1148,0.10256400000000003,0.051282000000000015,0.538462,0.25641,0.051282000000000015,119.857143,1,149,21,201621,101.857143,75.42857099999998,61,-4.285714,4.0,3.928571,0.714286,349.8
1,2016,50,13.7931,31.0345,41.3793,3.4483,10.3448,0.098361,0.114754,0.409836,0.245902,0.131148,96.142857,1,150,21,201621,98.0,72.714286,29,-9.571429,-2.285714,4.071429,0.714286,349.8
1,2016,51,13.6691,21.5827,25.1799,25.1799,14.3885,0.137931,0.310345,0.413793,0.034483,0.103448,373.571429,1,151,21,201621,166.428571,128.571429,139,-6.75,1.25,3.785714,0.14285699999999998,349.8
1,2016,52,11.1111,27.77780000000001,33.3333,16.666700000000002,11.1111,0.136691,0.215827,0.251799,0.251799,0.143885,143.571429,1,152,21,201621,70.14285699999999,40.857143,18,-11.571429,-3.0,3.785714,0.714286,349.8
2,2014,40,33.3333,0.0,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,86.85714300000002,2,240,41,201441,109.857143,79.1,6,12.857143,22.857143,0.0,0.714286,602.0
2,2014,41,11.4754,22.1311,28.6885,28.6885,9.0164,0.333333,0.0,0.333333,0.333333,0.0,160.428571,2,241,41,201441,111.28571399999998,81.371429,122,11.428571,22.428571,0.464286,0.714286,602.0
2,2014,42,0.0,19.3548,29.0323,41.9355,9.6774,0.114754,0.221311,0.286885,0.286885,0.090164,116.71428600000002,2,242,41,201441,95.0,61.957143,31,12.285714,22.714286,0.0,0.571429,602.0
2,2014,43,9.0909,9.0909,45.4545,31.8182,4.5455000000000005,0.0,0.193548,0.290323,0.419355,0.096774,142.28571399999996,2,243,41,201441,94.428571,55.185714,66,11.857143,22.857143,0.642857,0.714286,602.0
