cid,income,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
1,27846.0,2019,3,66.6667,0.0,33.3333,0.0,0.0,0.07142899999999999,0.14285699999999998,0.285714,0.5,0.0,52.85714300000001,4,1,103,21,201921,93.857143,60.428571,3,-8.142857000000001,-0.714286,2.714286,1.0
1,27846.0,2019,4,0.0,50.0,0.0,50.0,0.0,0.666667,0.0,0.333333,0.0,0.0,77.14285699999998,4,1,104,21,201921,95.857143,63.571429,2,-7.571428999999998,1.714286,2.428571,1.0
1,27846.0,2019,5,0.0,0.0,0.0,0.0,100.0,0.0,0.5,0.0,0.5,0.0,49.857143,4,1,105,21,201921,89.57142900000002,56.285714,1,-6.857142999999999,1.857143,3.0,0.714286
1,27846.0,2019,6,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.714286,4,1,106,21,201921,88.14285699999998,63.428571,2,-14.285714000000002,-6.428571,2.428571,0.714286
1,27846.0,2019,7,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,66.714286,4,1,107,21,201921,70.714286,51.142857,0,-8.857142999999997,-1.142857,2.0,0.571429
1,27846.0,2019,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.42857099999998,4,1,108,21,201921,123.71428600000002,92.428571,0,-2.6,7.2,1.857143,0.857143
1,27846.0,2019,9,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,104.571429,2,1,109,21,201921,159.428571,123.0,8,2.333333,12.166667,2.142857,0.714286
1,27846.0,2019,10,0.0,0.0,28.571400000000004,57.1429,14.285700000000002,0.0,0.25,0.5,0.25,0.0,101.714286,1,1,110,21,201921,111.142857,80.57142900000002,7,0.5,10.833333,2.285714,0.714286
1,27846.0,2019,11,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.285714,0.571429,0.14285699999999998,74.85714300000002,1,1,111,21,201921,62.571429,29.571429,2,2.166667,11.0,3.142857,0.714286
1,27846.0,2019,12,0.0,33.3333,33.3333,33.3333,0.0,0.0,0.0,0.5,0.5,0.0,68.0,1,1,112,21,201921,67.285714,36.142857,3,3.8,13.2,3.285714,0.714286
1,27846.0,2019,13,0.0,50.0,0.0,50.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,50.714286,1,1,113,21,201921,59.85714300000001,31.142857,2,0.833333,9.0,2.285714,0.714286
1,27846.0,2019,14,0.0,0.0,50.0,50.0,0.0,0.0,0.5,0.0,0.5,0.0,75.85714300000002,1,1,114,21,201921,100.428571,40.0,4,4.857143,14.857143,2.857143,0.857143
1,27846.0,2019,15,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,49.714286,1,1,115,21,201921,81.285714,49.0,3,8.571429,17.0,3.0,0.714286
1,27846.0,2019,16,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.428571,1,1,116,21,201921,85.0,39.0,1,10.0,20.285714,3.142857,0.571429
1,27846.0,2019,17,0.0,0.0,50.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,41.714286,1,1,117,21,201921,65.285714,26.428571,2,9.428571,18.857143,3.428571,0.571429
1,27846.0,2019,18,0.0,33.3333,33.3333,0.0,33.3333,0.0,0.0,0.5,0.5,0.0,25.285714,1,1,118,21,201921,85.57142900000002,38.142857,3,12.142857,23.428571,3.142857,0.714286
1,27846.0,2019,19,31.25,12.5,0.0,6.25,50.0,0.0,0.333333,0.333333,0.0,0.333333,16.714285999999998,1,1,119,21,201921,98.0,43.142857,16,15.142857,27.0,3.0,0.857143
1,27846.0,2019,20,0.0,33.3333,0.0,66.6667,0.0,0.3125,0.125,0.0,0.0625,0.5,25.0,1,1,120,21,201921,65.0,23.571429,3,16.142857,25.428571,3.714286,0.571429
